path,category_guess,lines,includes,gl_calls,gl_raw_refs,gl_call_exprs,gl_known_false_refs,gGL,LLGL,LLRender,LLPipeline,LLDrawPool,LLRenderTarget,LLImageGL,LLViewerTexture,LLViewerWindow
indra/newview/lltooldraganddrop.cpp,assets.texture,3659,41,0,0,0,0,0,53,0,0,0,0,0,5,0
indra/newview/llgltfmateriallist.cpp,render.opengl_touching,761,22,0,0,0,0,0,45,0,0,0,0,0,0,0
indra/newview/gltf/llgltfloader.cpp,assets.texture,1841,13,0,0,0,0,0,36,0,0,0,0,0,2,0
indra/newview/llviewerobject.cpp,render.pipeline,7848,80,0,0,0,0,0,29,2,1,0,0,0,47,0
indra/newview/llfloatergltfasseteditor.cpp,ui,623,8,0,0,0,0,0,27,0,0,0,0,0,0,0
indra/llrender/llimagegl.h,render.legacy_low_level,369,11,0,0,0,0,0,26,0,0,0,0,14,0,0
indra/newview/llvlcomposition.cpp,assets.texture,609,15,0,0,0,0,0,23,0,0,0,0,0,2,0
indra/llrender/llgltexture.h,render.legacy_low_level,205,5,0,0,0,0,0,22,0,0,0,0,5,2,0
indra/newview/llgltffoldermodel.cpp,render.opengl_touching,74,3,0,0,0,0,0,19,0,0,0,0,0,0,0
indra/llprimitive/llgltfmaterial.h,render.opengl_touching,287,10,0,0,0,0,0,17,0,0,0,0,0,0,0
indra/newview/llgltffoldermodel.h,render.opengl_touching,92,2,0,0,0,0,0,17,0,0,0,0,0,0,0
indra/newview/llviewertexturelist.h,assets.texture,302,6,0,0,0,0,0,15,0,0,0,0,0,11,0
indra/newview/llgltffolderitem.cpp,render.opengl_touching,165,3,0,0,0,0,0,15,0,0,0,0,0,0,0
indra/newview/llvocache.cpp,assets.texture,2029,10,0,0,0,0,0,13,0,0,0,0,0,2,0
indra/newview/gltf/asset.cpp,assets.texture,1478,12,0,0,0,0,0,13,0,0,0,0,0,2,0
indra/newview/llfloaterregioninfo.cpp,render.draw_pool,4423,71,0,0,0,0,0,13,0,0,1,0,0,0,0
indra/newview/pipeline.h,render.pipeline,1133,14,0,0,0,0,0,12,2,5,49,53,0,5,0
indra/llrender/llshadermgr.h,render.legacy_low_level,414,5,0,0,0,0,0,12,0,0,0,0,0,0,0
indra/newview/llgltfmateriallist.h,render.opengl_touching,177,6,0,0,0,0,0,12,0,0,0,0,0,0,0
indra/llprimitive/lltextureentry.h,assets.texture,262,6,0,0,0,0,0,11,0,0,0,0,0,0,0
indra/newview/llviewertexture.h,assets.texture,795,13,0,0,0,0,0,10,5,0,0,0,4,26,0
indra/newview/gltf/llgltfloader.h,render.opengl_touching,216,4,0,0,0,0,0,10,0,0,0,0,0,0,0
indra/llrender/llgltypes.h,render.legacy_low_level,41,0,0,0,0,0,0,10,0,0,0,0,0,0,0
indra/newview/llvieweroctree.cpp,render.pipeline,1558,10,0,0,0,0,0,9,6,7,0,0,0,0,0
indra/newview/llreflectionmap.cpp,render.pipeline,384,8,0,0,0,0,0,9,1,1,0,0,0,0,0
indra/llwindow/llwindowsdl.cpp,assets.texture,2760,18,0,0,0,0,0,9,0,0,0,0,1,0,0
indra/newview/llworldmipmap.cpp,assets.texture,272,5,0,0,0,0,0,8,0,0,0,0,0,1,0
indra/newview/lllocalbitmaps.cpp,render.opengl_touching,1319,31,0,0,0,0,0,8,10,0,0,0,0,0,0
indra/newview/llpanelface.h,ui,741,8,0,0,0,0,0,8,4,0,0,0,0,0,0
indra/newview/lltinygltfhelper.cpp,render.opengl_touching,390,5,0,0,0,0,0,8,0,0,0,0,0,0,0
indra/newview/lldrawpoolalpha.h,render.draw_pool,152,3,0,0,0,0,0,8,4,0,4,0,0,0,0
indra/newview/llreflectionmapmanager.h,render.pipeline,281,5,0,0,0,0,0,7,0,2,0,2,0,0,0
indra/llprimitive/lltextureentry.cpp,assets.texture,801,7,0,0,0,0,0,7,0,0,0,0,0,0,0
indra/newview/llgltfmaterialpreviewmgr.h,assets.texture,86,5,0,0,0,0,0,6,0,0,0,2,0,1,0
indra/newview/llfloaterprofiletexture.cpp,ui,291,9,0,0,0,0,0,6,0,0,0,0,0,5,0
